X,Y,stationtype,stationmmsi,stationname,objectid
-8929161.746,3072244.1484,NAIS,3660635,Lake Worth,46
-8926920.5475,2969283.7702,NAIS,3669192,Miami,47
-7408770.4604,2055465.4014,NAIS,3660637,Cerro Maravilla,48
-7324018.342,2073931.1394,NAIS,3669753,El Yunque,49
-7457385.2556,2055373.9064,NAIS,3660636,Monte Del Estado,50
-9179838.5084,3142364.4129,NAIS,3669746,Nokomis,51
-9192124.7342,3191767.9254,NAIS,3669172,Palmetto,52
-9213677.4206,3272026.5592,NAIS,3669747,Tarpon Springs,53
-10812662.4463,3241977.9024,NAIS,3669781,Aransas Pass,54
-10871772.105,3122232.3753,NAIS,3669782,Kenedy,55
-10577349.9119,3473838.5628,NAIS,3669774,Baytown,56
-10648610.8752,3355870.2338,NAIS,3669173,Caney Creek,57
-10351170.355,3474401.441,NAIS,3669777,Grand Chenier,58
-10507299.0976,3447860.1254,NAIS,3669775,High Island,59
-10051199.2333,4177562.5329,NAIS,3669163,Proctor,60
-9491034.3593,3480340.102,NAIS,3669756,Port St. Joe,61
-9756586.8602,3582542.6072,NAIS,3669757,Robertsdale,62
-9384394.2654,3513380.5196,NAIS,3669759,Shell Point,63
-9594509.8652,3551780.4572,NAIS,3669758,Santa Rosa,64
-9875686.2799,3566191.7021,NAIS,3669760,Van Cleave,65
-10205020.1869,3616191.8437,NAIS,3669766,Bachelor,66
-10136150.4704,3552563.2883,NAIS,3669175,Baton Rouge,67
-10187663.575,3457167.1898,NAIS,3669767,Bayou Salle,68
-10097108.2639,3513023.2655,NAIS,3669176,Grammercy,69
-9992345.7954,3479019.9943,NAIS,3669762,Reggio,70
-9949133.6701,3413864.364,NAIS,3669771,Venice,71
-9399999.761,4730747.3318,NAIS,3669164,Fort Thomas,72
-9182923.3442,4634918.4899,NAIS,3669165,Huntington,73
-8904929.8986,4934766.2897,NAIS,3669166,Pittsburgh PA,74
-10060193.5536,4777466.7521,NAIS,3669167,Imperial,75
-9130833.2914,5083675.0127,NAIS,3669755,Avon Lake,76
-8966692.8781,5148527.499,NAIS,3669768,Conneaut,77
-8774709.7834,5259005.9755,NAIS,3669770,Eden,78
-8673452.2124,5358156.2229,NAIS,3669772,Hamlin,79
